Ticket ID,Device,Reported Issue,Event feed / Comments / Conclusions,Completed works
IT-15746,Samsung Galaxy S8,replace screen battery,,
IT-15739,Dell Latitude 3410,prevention,,Hardware prevention of the cooling system (Lev IV: Premium thermal paste)
IT-15735,Apple A2141,"test, it gets very hot, buzzes, some programs don't work.",,
IT-15744,Lenovo Y520-15IKBN,Laptop phase prevention,,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15753,Oppo Ace 2,to reflash,,
IT-15751,Asus UM425I,Laptop prevention,"Conclusion: Preventive maintenance of the laptop and inspection of the main components have been performed. 🧰 Work performed: ✔️ The cooling system has been cleaned. ✔️ A new thermal interface with a phase transition has been installed. ✔️ A control check has been performed after maintenance. ⚠️ Additionally found: ❗ The battery is faulty and needs to be replaced. ❗ The SSD drive has a very long service life, which indicates a significant resource of use. At the moment, we recommend taking this into account and, if possible, making a backup copy of important data in advance. 📄 Conclusion: Preventive maintenance has been performed. 💡 Recommendation: We recommend replacing the battery and continuing to monitor the condition of the SSD drive.",Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15755,Lenovo old,replace connector,,
IT-15742,Acer AN515-55,prevention (phase),,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15747,Samsung Galaxy S10+,replace the screen,,
IT-15725,Acer Nitro 5 AN517-54-50ML,prevention phase + gaskets,,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15722,Lenovo Legion 5 15ACH6H,"diagnose, do prevention, phase + gaskets",,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15694,Redmi Redmi Note 8 2021,Not charging,,Restoring the device with functional diagnostics
IT-15699,Acer Nitro 5 AN517-54-54ZU,"prophylactic, phase + gaskets",,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15692,Xiaomi Redmi 9C (NFC),Not charging,,"Component replacement of the system connector (Type-C / Lightning and others) of a mobile device, Gluing a hydrogel film on a smartphone (screen)"
IT-15691,STM32 Black,solder contacts,,
IT-15670,Realme RMX3630,The sensor is not working.,,
IT-15741,attack shark x11,the wheel is not working,,Restoring the device with functional diagnostics
IT-15669,Wibrand 512g,SSD is not working,,
IT-15687,Lenovo IdeaPad 3 15MN05,"Laptop prevention, and the Wi-Fi driver crashed",,Hardware prevention of the cooling system (Lev IV: Premium thermal paste)
IT-15647,Redmi Redmi Note 8 2021,Not charging,,
IT-15665,Hp Pavilion 15-eg007cl,Laptop prevention (possibly with pads),,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15664,Samsung Galaxy Tab A9+,not charging,,
IT-15640,Samsung SM-S918B/DS,Does not turn on,,Restoring the device with functional diagnostics
IT-15637,Samsung Galaxy Tab A 10.1 (2016),"Replacing the socket + the display does not work, the sensor responds",,
IT-15638,Samsung Galaxy Tab A 10.1 (2016),"Not charging, connector",,
IT-15636,Acer Nitro 5 AN515-44,Cleaning and adding RAM,,"Hardware upgrade of RAM (SO-DIMM/DIMM) with timing selection, Comprehensive heat dissipation restoration (PCM Phase Transition + Liquid / Thermal Pads)"
IT-15620,Redmi Redmi 2409BRN2CY,Forgot your password + look at the NSF,,
IT-15613,Pocketbook Pro 902,Faulty power button,,
IT-15618,Hp 15-db0421ur,battery replacement,,"Original HP laptop battery, Hardware cooling system prevention (Lev IV: Premium thermal paste)"
IT-15607,Samsung Galaxy A06,"Completely froze and turned off, then only the logo",,Restoring the device with functional diagnostics
IT-15609,Samsung Galaxy S11,Does not turn on,,Restoring the device with functional diagnostics
IT-15611,Gigabyte AERO 16,Prevention,,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
